Id,Designator,Footprint,Quantity,Designation,LCSC Part Number
2,"C56,C54,C51,C49,C46,C44,C38,C36,C33,C31,C28,C26",603,12,220n+,C21120
3,"C55,C50,C45,C37,C32,C27",603,6,100n+,C14663
4,"R52,R51,R12,R13,R17,R21,R22,R25,R26,R29,R30,R33,R34,R37,R38,R41,R42",402,17,10k,C25744
5,R14,1206,1,120R+,C22107
7,R11,603,1,2K2,C4190
10,"C11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C14,C18,C20,C25,C30,C35,C40,C41,C42,C48,C53,C58",402,22,100n,C1525
11,C59,402,1,33p,C1562
12,C12,402,1,10u,C15525
13,U1,SOT-23-6L,1,mp2451dt,C14123
14,R50,402,1,39k,C25783
15,R49,402,1,120k,C25750
16,"R48,R47,R46",402,3,4.7k,C25900
17,R45,402,1,300K,C25774
18,L1,1210,1,2.2uh,C86074
21,"D5,D1",SOD-123,2,b5819w,C8598
22,"C61,C15",402,2,10n,C15195
23,C13,805,1,4.7u+,C1779
24,"C1,C24",603,2,10u,C19702
25,"C16,C17",402,2,12p,C1547
26,"C19,C21,C22,C23",603,4,2.2u,C23630
27,"C29,C34,C39,C47,C52,C57",402,6,1n,C1523
28,C43,402,1,2.2n,C1531
29,D2,LED_0603,1,RED,C2286
30,D3,LED_0603,1,GREEN,C72043
31,D4,LED_0603,1,BLUE,C72041
32,"FB1,FB2",805,2,100 @ 100Mhz,C1015
33,HSE1,SMD-CRY-3225_4P,1,16MHz,C13738
42,"R1,R2,R3",402,3,22R,C25092
43,"R4,R5,R6,R7,R8,R9",402,6,1K5,C25867
44,R10,402,1,220,C25091
45,R15,402,1,33K,C25779
46,R16,402,1,3K3,C25890
48,"R18,R19,R20,R23,R27,R31,R35,R39,R43",402,9,1k,C11702
49,"R24,R28,R32,R36,R40,R44",402,6,510R,C25123
50,"SW1,SW2,SW3",SW-SMD-2_3.0x4.0x1.7,3,push,C561519
51,U2,SOIC-8_3.9x4.9x1.27P,1,TJA1051T-3,C38695
52,U3,LQFP-64_10.0x10.0x0.5P,1,STM32F405RGTx,C15742
53,"U4,U5,U6,U8,U9,U10",TO-263-7L,6,IFX007T,C74175
54,U7,QFN-24_EP_4.0x4.0x0.5P,1,MPU-6050,C24112
