Id,Designator,Footprint,Quantity,Designation,LCSC Part#
1,"C1,C24",0603,2,10u,C19702
2,"C2,C3,C4,C5,C6,C7,C8,C9,C10,C14,C18,C20,C25,C27,C30,C32,C35,C37,C40,C42,C45,C48,C50,C53,C55,C58",0402,26,100n,C1525
3,C11,CP_Radial_D10.0mm_P5.00mm,1,1000u,
4,"C12,C13",0805,2,10u,C15850
5,"C15,C41",0402,2,10n,C15195
6,"C16,C17",0402,2,12p,C1547
7,"C19,C21,C22,C23",0603,4,2.2u,C23630
8,"C26,C28,C31,C33,C36,C38,C44,C46,C49,C51,C54,C56",0402,12,220n,C16772
9,"C29,C34,C39,C47,C52,C57",0402,6,1n,C1523
10,C43,0402,1,2.2n,C1531
11,D1,SOD-123,1,b5819w,C8598
12,D2,0603,1,RED,C2286
13,D3,0603,1,GREEN,C72043
14,D4,0603,1,BLUE,C72041
15,"FB1,FB2",0805,2,100 @ 100Mhz,C1017
16,"H1,H2,H3,H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
17,HSE1,SMD-CRY-3225_4P,1,16MHz,C13738
18,J1,PinHeader_1x05_P2.54mm_Vertical,1,CONN_HALL_1,
19,J2,PinHeader_1x04_P2.54mm_Vertical,1,CONN_PROG,
20,J3,USB_Micro-B_GCT_USB3076-30-A,1,CONN_USB_OTG,
21,J4,TerminalBlock_Altech_AK300-3_P5.00mm,1,CONN_MOT_1,
22,J5,PinHeader_1x04_P2.54mm_Vertical,1,CONN_SERIAL,
23,J6,TerminalBlock_Altech_AK300-3_P5.00mm,1,CONN_MOT_2,
24,J7,PinHeader_1x06_P2.54mm_Vertical,1,CONN_SPI_1,
25,J8,PinHeader_1x06_P2.54mm_Vertical,1,CONN_SPI_2,
26,J9,PinHeader_1x05_P2.54mm_Vertical,1,CONN_HALL_2,
27,J10,PinHeader_1x04_P2.54mm_Vertical,1,CONN_CAN,
28,J11,TerminalBlock_Altech_AK300-2_P5.00mm,1,CONN_PWR,
29,"R1,R2,R3",0402,3,22R,C25092
30,"R4,R5,R6,R7,R8,R9",0402,6,1K5,C25867
31,"R10,R14",0402,2,220,C25091
32,R11,0603,1,2K2,C4190
33,"R12,R13,R17,R21,R22,R25,R26,R29,R30,R33,R34,R37,R38,R41,R42",0402,15,10k,C25744
34,R15,0402,1,33K,C25779
35,R16,0402,1,3K3,C25890
36,"R18,R19,R20",0402,3,1K,C11702
37,"R23,R27,R31,R35,R39,R43",0402,6,1k,C11702
38,"R24,R28,R32,R36,R40,R44",0402,6,510R,C25123
39,"SW1,SW2,SW3",SW-SMD-2_3.0x4.0x1.7,3,push,C561519
40,U1,SOT-223,1,AMS1117-3.3,C6186
41,U2,SOIC-8_3.9x4.9x1.27P,1,TJA1051T-3,C38695
42,U3,LQFP-64_10.0x10.0x0.5P,1,STM32F405RGTx,C15742
43,"U4,U5,U6,U8,U9,U10",TO-263-7_TabPin8,6,IFX007T,
44,U7,QFN-24_EP_4.0x4.0x0.5P,1,MPU-6050,C24112
